0201000912Srikakulam                  
0202620912   538530   447005
0202621912   335050   301260
0202622912   112380    88690
0202623912     8525     5190
0202624912     5060     3220
0202625912     4500     1820
0202626912      200      120
0202627912    63060    39530
0202628912     9755     7175
0202630912   321740   295745
0202631912     9870     6805
0202632912      265      165
0202633912    15305    12635
0202634912   182410   125555
0202635912     1075      195
0202636912     7865     5905
0202640912    25490    22020
0202641912   294040   265885
0202642912     9805     8795
0202643912     7835     5230
0202644912   181255   131290
0202645912     1035      580
0202646912     6155     2940
0202647912     3220     2610
0202648912       60       20
0202649912     9635     7635
0202650912   461495   386905
0202651912   413520   363650
0202652912    40585    17645
0202653912     7390     5610
0202654912    70325    60930
0202655912   260655   216745
0202656912   112140    93790
0202657912    18375    15440
0202660912       50       50
0202661912   334905   294650
0202662912    87785    67360
0202663912    25245    16860
0202664912     6520     3395
0202665912     1640      700
0202666912     1935      985
0202667912     3415     2905
0202670912   461530   386930
0202671912   138665    93100
0202672912    34520     9465
0202681912   257550   237445
0202682912    54590     9925
0202683912    72965    65105
0202684912    42400    42330
0202685912    27635    27410
0202686912     6390     4715
0202687912    36275    16915
0202688912   425255   370015
0202689912    13070     1755
0202690912     3310     2765
0202691912       55       35
0202692912      120       65
0202693912     3095     1540
0202694912    24155     7555
0202695912   408955   362935
0202696912      845      410
0202697912    11240     2535
0202698912     9720     9070
0202699912       35       20
0203000912Visakhapatanam              
0203100912  3285092  1976509  1663249   991687
0203111912  1314851   933805   928286   596070
0203112912   787802   755828   478784   455452
0203113912   477449   468293   308943   301727
0203114912   310353   287535   169841   153725
0203115912    34792    29238    23226    19070
0203116912   492257   148739   426276   121548
0203117912    30552    21464    27852    19262
0203118912     6185     4212     4865     3105
0203119912    85147    18091    80374    15125
0203120912    32784     6518    28596     5676
0203121912    97890    33741    79601    24603
0203122912    65271    13028    63696    12852
0203123912   174428    51685   141292    40925
0203124912   101311    95263     7337     5865
0203125912  1868930   947441   727626   389752
0203126912  1416162  1029068   935623   601935
0203139912  1970241  1042704   734963   395617
0203140912  1262458   470583   789044   328044
0203141912   153400    75180    83150    43190
0203142912   237430   108430   136940    68550
0203143912   179779    66220   106619    45460
0203144912   150651    48533    93127    34915
0203145912   130909    38960    82190    29630
0203146912    98211    28771    64851    22271
0203147912   252918    80159   183157    66508
0203148912    35270    11570    25290     9990
0203149912    23890    12760    13720     7530
0203151912   916778   289233   592074   215314
0203152912   546800   134860   377027   108679
0203153912   380897    76369   271614    63758
0203154912   118928    13988    90998    12348
0203155912   117578    13598    89858    12008
0203156912    96308    10568    69858     9128
0203160912   332740   213480   165280   105480
0203161912   425921   266452   216549   136014
0203162912   358910   210590   185640   110160
0203163912   305801   166300   155863    86350
0203164912   297963   160571   145557    76295
0203165912   304789   170790   149970    83820
0203166912   247400   142968   127339    71688
0203167912   234566   138699   121833    70198
0203168912   193402   120745   104334    61657
0203169912   161514   104635    86014    54045
0203170912   141376    95216    71930    47330
0203171912    80197    54340    38100    25660
0203172912    88630    60690    41220    28800
0203173912    37043    24743    17170    11490
0203174912    30470    20650    13540     9210
0203175912     8500     5250     3870     2500
0203176912     8415     5323     3720     2385
0203177912     1692     1064      818      531
0203178912      936      536      323      174
